classes,fscore,precision,recall
average,0.894711,0.894711,0.894711
0,0.729412,0.775000,0.688889
1,0.934307,0.914286,0.955224
2,0.880000,0.956522,0.814815
3,0.967213,0.967213,0.967213
4,0.921053,1.000000,0.853659
5,0.927835,0.957447,0.900000
6,0.788321,0.771429,0.805970
7,0.860465,0.840909,0.880952
8,0.883117,0.883117,0.883117
9,0.868217,0.861538,0.875000
a,0.885246,0.880435,0.890110
b,0.882562,0.873239,0.892086
c,0.959410,0.970149,0.948905
d,0.947368,0.929032,0.966443
e,0.947020,0.972789,0.922581
f,0.941935,0.948052,0.935897
g,0.928571,0.901734,0.957055
h,0.836923,0.844720,0.829268
i,0.919786,0.914894,0.924731
j,0.934783,0.924731,0.945055
k,0.872093,0.862069,0.882353
l,0.926829,0.926829,0.926829
m,0.858086,0.860927,0.855263
n,0.842424,0.847561,0.837349
o,0.808824,0.808824,0.808824
p,0.849498,0.869863,0.830065
q,0.887574,0.862069,0.914634
r,0.899329,0.899329,0.899329
s,0.948640,0.951515,0.945783
t,0.968153,0.987013,0.950000
u,0.865455,0.832168,0.901515
v,0.909091,0.915493,0.902778
w,0.911475,0.920530,0.902597
x,0.918919,0.957746,0.883117
y,0.836013,0.817610,0.855263
z,0.916667,0.916667,0.916667
